,id_senador,id_ficha,fecha_entrada
0,9900,143084,2019-04-02
1,9900,142063,2018-12-05
2,9900,141848,2018-11-14
3,9900,141494,2018-10-09
4,9900,140668,2018-08-01
5,9900,140425,2018-07-10
6,9900,139576,2018-05-08
7,9900,139480,2018-05-02
8,9900,138643,2018-03-06
9,9900,137830,2017-12-06
10,9900,137658,2017-11-22
11,9900,137519,2017-11-14
12,9900,137375,2017-11-07
13,9900,137300,2017-11-01
14,9900,137051,2017-10-10
15,9900,135668,2017-07-12
16,9900,135674,2017-07-12
17,9900,135482,2017-06-29
18,9900,135458,2017-06-27
19,9900,135165,2017-06-07
20,9900,135084,2017-06-05
21,9900,135085,2017-06-05
22,9900,134850,2017-05-16
23,9900,134776,2017-05-10
24,9900,134536,2017-04-26
25,9900,134340,2017-04-05
26,9900,134288,2017-04-04
27,9900,133875,2017-03-14
28,9900,132929,2016-11-30
29,9900,132804,2016-11-22
30,9900,132114,2016-10-18
31,9900,132117,2016-10-18
32,9900,131836,2016-09-27
33,9900,131029,2016-08-03
34,9900,130766,2016-07-13
35,9900,130280,2016-06-15
36,9900,130145,2016-06-08
37,9900,128594,2016-03-08
38,9900,128446,2016-03-02
39,9900,128332,2016-02-16
