,id_ficha,fecha_entrada,tipo,titulo,estado
0,133188,2016-12-14,RESOLUCION,"AGAZZI, Ernesto. SENADOR REPUBLICA. RENUNCIA.",APRUEBA
1,132804,2016-11-22,PROYECTO DE LEY,ENTES AUTÓNOMOS. SERVICIOS DESCENTRALIZADOS. GIRO. MODIFICACIÓN.,EN_TRAMITE
2,132477,2016-11-01,DECLARACION,REPÚBLICA ITALIANA. TERREMOTOS. SOLIDARIDAD. MANIFESTACIONES.,APRUEBA
3,132117,2016-10-18,LEY,INGENIERO RICARDO ROSA. TRAMO RUTA 67 (DESDE ELIAS REGULES HASTA SAUCE). DENOMINACION.,PROMULGA
4,132114,2016-10-18,LEY,"TOSCANINI, JUAN. TRAMO RUTA 69 (DESDE INTERSECCION CON RUTAS 67 Y 68 HASTA INTERSECCION CON RUTA 32). DENOMINACION.",PROMULGA
5,132139,2016-10-14,PROYECTO DE RESOLUCION  - Homenaje,CONVENCION NACIONAL TRABAJADORES (CNT).  50° ANIVERSARIO FUNDACION. CONMEMORACION. CONVOCATORIA.,EN_TRAMITE
6,131836,2016-09-27,PROYECTO DE RESOLUCION  - Homenaje,"RODO, José Enrique. 100 AÑOS FALLECIMIENTO. HOMENAJES. COMISION ESPECIAL. CREACION.",EN_TRAMITE
7,131029,2016-08-03,LEY,PRODUCCION BASES AGROECOLOGICAS. INTERES GENERAL. DECLARACION. COMISION HONORARIA NACIONAL. CREACION.,PROMULGA
8,130766,2016-07-13,PROYECTO DE LEY,CODIGO CIVIL. MATRIMONIO. EDAD MÍNIMA. MODIFICACION.,EN_TRAMITE
9,130280,2016-06-15,PROYECTO DE LEY,"VILLALBA, Olegario. ESCUELA RURAL N° 97 VILLA SERRANA (LAVALLEJA). DENOMINACIÓN.",EN_TRAMITE
10,129742,2016-05-18,PROYECTO DE RESOLUCION,REGLAMENTO CÁMARA SENADORES. DISPOSICIONES. MODIFICACIÓN.,EN_TRAMITE
11,128594,2016-03-08,DECLARACION,"CÁCERES, Berta. ORGANIZACIONES POPULARES E INDÍGENAS HONDURAS. PRESIDENTA. ASESINATO. JUSTICIA. RECLAMO. DECLARACIÓN.",APRUEBA
12,128446,2016-03-02,LEY,MOSQUITO AEDES AEGYPTI. FUMIGACION PREDIOS BALDÍOS Y FINCAS ABANDONADAS. INGRESO. AUTORIZACIÓN.,PROMULGA
13,128332,2016-02-16,RESOLUCION,EX LEGISLADORES ZELMAR MICHELINI Y HECTOR GUTIERREZ RUIZ. DISCURSOS PARLAMENTARIOS. RECOPILACION Y EDICION,APRUEBA
14,127268,2015-11-10,PROYECTO DE LEY,INSTITUCIÓN NACIONAL DERECHOS HUMANOS . CREACIÓN. MODIFICACIÓN.,EN_TRAMITE
15,125989,2015-08-12,RESOLUCION  - Creación comisión especial,ALIMENTACIÓN. DERECHO. COMISIÓN ESPECIAL. CREACIÓN.,APRUEBA
16,125462,2015-07-14,PROYECTO DE RESOLUCION  - Homenaje,"SINGLET, Manuel. FALLECIMIENTO. HOMENAJE.",APRUEBA
17,125290,2015-07-01,PROYECTO DE LEY,INMUEBLES RURALES. DERECHO PROPIEDAD. TITULARIDAD. MODIFICACIÓN.,EN_TRAMITE
18,125289,2015-07-01,PROYECTO DE LEY,PEONES PRÁCTICOS Y OBREROS NO ESPECIALIZADOS. TRABAJO. MODIFICACIÓN.,EN_TRAMITE
19,125291,2015-07-01,LEY,PUERTO JOSE CARBAJAL EL SABALERO. PUERTO SAUCE (COLONIA). DENOMINACION. MODIFICACION.,PROMULGA
20,125293,2015-07-01,PROYECTO DE LEY,ESPACIO COSTERO OCEANO ATLANTICO Y RIO DE LA PLATA. USO. REGULACION.,APRUEBA
21,125292,2015-07-01,PROYECTO DE LEY,OBRAS INTELECTUALES Y ARTÍSTICAS. REPRODUCCIÓN. REGULACIÓN.,APRUEBA
22,125014,2015-06-16,LEY,"FRUTAS, FLORES Y HORTALIZAS. IVA. FONDO RECONSTRUCCION Y FOMENTO DE LA GRANJA. FINANCIACION. PRORROGA.",PROMULGA
23,125018,2015-06-16,LEY,NACIONALIDAD URUGUAYA. MODIFICACIÓN.,PROMULGA
24,124969,2015-06-10,PROYECTO DE RESOLUCION  - Homenaje,"MASSERA, José Luis. NACIMIENTO (100 AÑOS). CONMEMORACION. HOMENAJE.",EN_TRAMITE
25,125265,2015-06-01,RESOLUCION  - Creación comisión especial,COMISIONADO PARLAMENTARIO. JUAN MIGUEL PETIT. DESIGNACIÓN. COMISIÓN ESPECIAL. CREACIÓN.,APRUEBA
26,125032,2015-04-15,PROYECTO DE RESOLUCION  - Homenaje,"GALEANO, Eduardo. FALLECIMIENTO. HOMENAJE.",EN_TRAMITE
27,124090,2015-04-14,RESOLUCION  - Homenaje,"GALEANO, Eduardo. FALLECIMIENTO. HOMENAJE.",APRUEBA
28,123986,2015-04-07,RESOLUCION  - Creación comisión especial,SEGURIDAD PÚBLICA Y CONVIVENCIA. COMISIÓN ESPECIAL. DESIGNACIÓN.,APRUEBA
29,123992,2015-04-07,DECLARACION,UNIVERSIDAD GARISSA. ATENTADO. VÍCTIMAS. SOLIDARIDAD. DECLARACIÓN.,APRUEBA
30,125032,2015-04-15,PROYECTO DE RESOLUCION  - Homenaje,"GALEANO, Eduardo. FALLECIMIENTO. HOMENAJE.",EN_TRAMITE
31,124827,2015-05-26,RESOLUCION,"ALMAGRO, Luis.  SENADOR REPÚBLICA. RENUNCIA.",APRUEBA
32,138818,2018-03-09,PROYECTO DE RESOLUCION  - Homenaje,"FERREIRA ALDUNATE, Wilson. FALLECIMIENTO. HOMENAJE.",EN_TRAMITE
33,137830,2017-12-06,LEY,ENSEÑANZA. ELECCIONES UNIVERSITARIAS. MODIFICACIÓN.,PROMULGA
34,137375,2017-11-07,LEY,INGENIERO ELADIO DIESTE SAN MARTÍN. CONMEMORACIÓN CENTENARIO NACIMIENTO. INTERÉS NACIONAL. DECLARACIÓN.,PROMULGA
35,135267,2017-06-13,RESOLUCION  - Creación comisión Preinvestigadora/Investigadora,SECTORES POLITICOS. PRESUNTOS FINANCIAMIENTOS ILEGALES. COMISION PREINVESTIGADORA. CREACION.,APRUEBA
36,134583,2017-04-27,RESOLUCION  - Homenaje,HAITÍ. MISION PAZ ONU (MINUSTAH). FUERZAS ARMADAS. RECONOCIMIENTO.,APRUEBA
37,132654,2016-11-14,PROYECTO DE LEY,SUBSIDIOS Y LICENCIA MATERNIDAD Y PATERNIDAD TRABAJADOR ACTIVIDAD PRIVADA. REGIMEN. MODIFICACIÓN.,EN_TRAMITE
38,132308,2016-10-27,PROYECTO DE LEY,FUNCIONARIOS POLICIALES. USO LEGAL DE LA FUERZA. LEGITIMA DEFENSA. PRESUNCION. MODIFICACION DEL ARTICULO 26 DEL CODIGO PENAL.,EN_TRAMITE
